date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:50:31	1527/1527	---M-Z	200	added ('OK')	text/html	etag:%225816a5-5f7-38f1146500fc0%22	https://www.nyu.edu/classes/stephens/IDLE.html	www.nyu.edu/classes/stephens/IDLE.html	(from https://www.nyu.edu/classes/stephens/Road_Video_Page.htm)
11:50:33	57696/57696	---M--	200	added ('OK')	image/jpeg	etag:%225816a9-e160-389a6ec3b07c0%22	https://www.nyu.edu/classes/stephens/Idle_still.JPG	www.nyu.edu/classes/stephens/Idle_still.jpg	(from https://www.nyu.edu/classes/stephens/Road_Video_Page.htm)
11:50:33	53422/53422	---M-Z	404	error ('Not%20Found')	text/html	etag:%22da5c4e-d0ae-59a01ad52d8b1%22	https://www.nyu.edu/classes/stephens/Journal_4	www.nyu.edu/classes/stephens/Journal_4.90.delayed	(from https://www.nyu.edu/classes/stephens/Journal.htm)
11:50:34	53422/53422	---M-Z	404	error ('Not%20Found')	text/html	etag:%22da5c4e-d0ae-59a01ad52d8b1%22	https://www.nyu.edu/classes/stephens/Sea.rm	www.nyu.edu/classes/stephens/Sea.rm	(from https://www.nyu.edu/classes/stephens/Sea.html)
11:50:35	95/95	---M--	200	added ('OK')	audio/x-pn-realaudio	etag:%225816e6-5f-3813f9234f980%22	https://www.nyu.edu/classes/stephens/Sea.ram	www.nyu.edu/classes/stephens/Sea.ram	(from https://www.nyu.edu/classes/stephens/Sea.html)
11:50:37	144398/144398	---M--	200	added ('OK')	image/jpeg	etag:%222340e-365a14763e100%22	https://www.nyu.edu/classes/stephens/rise%20of%20image%20--%20SF%20Chronicle.jpg	www.nyu.edu/classes/stephens/rise%20of%20image%20--%20SF%20Chronicle.jpg	(from https://www.nyu.edu/classes/stephens/rise%20of%20image%20--%20SF%20Chronicle%20page.htm)
11:50:39	53422/53422	---M-Z	404	error ('Not%20Found')	text/html	etag:%22da5c4e-d0ae-59a01ad52d8b1%22	http://www.nyu.edu/classes/stephens/Video%20page.htm%20	www.nyu.edu/classes/stephens/Video%20page.95.delayed	(from https://www.nyu.edu/classes/stephens/CV.htm)
11:50:39	1725/1725	---M-Z	200	added ('OK')	text/html	etag:%225816eb-6bd-36a7ec9313200%22	https://www.nyu.edu/classes/stephens/Their_Eyes.html	www.nyu.edu/classes/stephens/Their_Eyes.html	(from https://www.nyu.edu/classes/stephens/old_video_page)
11:50:40	259600/259600	---M--	200	added ('OK')	image/jpeg	etag:%223f610-365a146e9cf00%22	https://www.nyu.edu/classes/stephens/rise%20of%20image%20-%20AJR.jpg	www.nyu.edu/classes/stephens/rise%20of%20image%20-%20AJR.jpg	(from https://www.nyu.edu/classes/stephens/rise%20of%20image%20-%20AJR%20page.htm)
11:50:41	71703/71703	---M--	200	added ('OK')	image/jpeg	etag:%2211817-36dfd765b9980%22	https://www.nyu.edu/classes/stephens/Their_Eyes_Image_Ephron.jpg	www.nyu.edu/classes/stephens/Their_Eyes_Image_Ephron.jpg	(from https://www.nyu.edu/classes/stephens/old_video_page)
11:50:41	1827/1827	---M-Z	200	added ('OK')	text/html	etag:%225816fc-723-368f2a3772200%22	https://www.nyu.edu/classes/stephens/Uncomfortable_Information.html	www.nyu.edu/classes/stephens/Uncomfortable_Information.html	(from https://www.nyu.edu/classes/stephens/old_video_page)
11:50:42	9019/9019	---M--	200	added ('OK')	image/jpeg	etag:%22233b-36dfd789f6f00%22	https://www.nyu.edu/classes/stephens/Uncomfortable_Info_image_hug.jpg	www.nyu.edu/classes/stephens/Uncomfortable_Info_image_hug.jpg	(from https://www.nyu.edu/classes/stephens/old_video_page)
11:50:43	1660/1660	---M-Z	200	added ('OK')	text/html	etag:%225816d3-67c-36e4817ac4b00%22	https://www.nyu.edu/classes/stephens/Noise_Video.html	www.nyu.edu/classes/stephens/Noise_Video.html	(from https://www.nyu.edu/classes/stephens/old_video_page)
11:50:44	22017/22017	---M--	200	added ('OK')	image/jpeg	etag:%225601-36e4c90cc2600%22	https://www.nyu.edu/classes/stephens/Noise_Still2.jpg	www.nyu.edu/classes/stephens/Noise_Still2.jpg	(from https://www.nyu.edu/classes/stephens/old_video_page)
11:50:45	1745/1745	---M-Z	200	added ('OK')	text/html	etag:%22581683-6d1-36df6ea837c80%22	http://www.nyu.edu/classes/stephens/Elian_video.html	www.nyu.edu/classes/stephens/Elian_video.html	(from https://www.nyu.edu/classes/stephens/old_video_page)
11:50:47	64946/64946	---M--	200	added ('OK')	image/jpeg	etag:%22fdb2-36dfcfcf17240%22	https://www.nyu.edu/classes/stephens/Elian_Image_Face.jpg	www.nyu.edu/classes/stephens/Elian_Image_Face.jpg	(from https://www.nyu.edu/classes/stephens/old_video_page)
11:50:48	66952/66952	---M--	200	added ('OK')	image/jpeg	etag:%2210588-36dfd18c74d00%22	https://www.nyu.edu/classes/stephens/Endless_Still.jpg	www.nyu.edu/classes/stephens/Endless_Still.jpg	(from https://www.nyu.edu/classes/stephens/old_video_page)
11:50:48	1757/1757	---M-Z	200	added ('OK')	text/html	etag:%22581664-6dd-36dfef9e83f00%22	https://www.nyu.edu/classes/stephens/Believe_Video.html	www.nyu.edu/classes/stephens/Believe_Video.html	(from https://www.nyu.edu/classes/stephens/old_video_page)
11:50:49	1660/1660	---M-Z	200	added ('OK')	text/html	etag:%225816ba-67c-36e2a6d34f180%22	https://www.nyu.edu/classes/stephens/Kids_Today_Video.html	www.nyu.edu/classes/stephens/Kids_Today_Video.html	(from https://www.nyu.edu/classes/stephens/old_video_page)
11:50:51	2349/2349	---M--	200	added ('OK')	text/plain	etag:%22da6568-92d-59c4481be6100%22	http://www.nyu.edu/robots.txt		(from https://www.nyu.edu/classes/stephens/Video%20page.htm)
11:50:54	53422/53422	---M-Z	404	error ('Not%20Found')	text/html	etag:%22da5c4e-d0ae-59a01ad52d8b1%22	http://www.nyu.edu/classes/stephens/Endless_Video.rm	www.nyu.edu/classes/stephens/Endless_Video.rm	(from http://www.nyu.edu/classes/stephens/Endless_Video.html)
11:50:57	115/115	---M--	200	added ('OK')	audio/x-pn-realaudio	etag:%2258168c-73-36e2ce5135dc0%22	http://www.nyu.edu/classes/stephens/Endless_Video.ram	www.nyu.edu/classes/stephens/Endless_Video.ram	(from http://www.nyu.edu/classes/stephens/Endless_Video.html)
11:50:57	276776/276776	---M--	200	added ('OK')	image/jpeg	etag:%2243928-36e39abb3a3c0%22	https://www.nyu.edu/classes/stephens/Kids_Today_Still.jpg	www.nyu.edu/classes/stephens/Kids_Today_Still.jpg	(from https://www.nyu.edu/classes/stephens/old_video_page)
11:50:57	654/654	---M-Z	200	added ('OK')	text/html	etag:%22581693-28e-365a13d8e2dc0%22	https://www.nyu.edu/classes/stephens/Favorite%20Beatle%20page.htm	www.nyu.edu/classes/stephens/Favorite%20Beatle%20page.html	(from https://www.nyu.edu/classes/stephens/Personal%20data.htm)
